Question,Answer
When was this Indian Standard adopted?,"The Indian Standards Institution adopted this Indian Standard (Part II) (Third Revision) on May 14, 1582."
How many revisions has this standard undergone?,This standard has undergone three revisions.
What is the purpose of the present revision of the standard?,The present revision aims to modify earlier provisions based on the experience gained from working with the standard by both manufacturers and users.
What units are used in specifying the physical requirements in the revised standard?,The revised standard adopts SI units for specifying various physical requirements.
How does the standard ensure international coordination in its formulation?,The standard gives due weightage to coordination among standards and practices prevailing in different countries and relates them to practices in the field in India.
"According to the standard, how should test results be rounded off?","Test results should be rounded off in accordance with IS : 2-1960, retaining the same number of significant places as specified in the standard."
What does the standard cover?,The standard (Part II) covers the requirements of hard-drawn wire of medium strength for use as reinforcement in concrete.
"What does the term ""bundle"" refer to in the standard?","In the standard, ""bundle"" refers to two or more coils or a number of lengths of wire properly bound together."
What process is used for the manufacture of the wire specified in the standard?,"The wire shall be cold-drawn from mild steel made by the open hearth, electric duplex, acid Bessemer, basic oxygen, or a combination of these processes."
What should the ladle analysis show according to the standard?,The ladle analysis shall show that the steel contains not more than 0.050 percent of sulphur and not more than 0.050 percent of phosphorus.
What are the physical requirements specified in the standard?,"The ultimate tensile stress, proof stress, and elongation of the wire are specified as physical requirements in the standard."
How is the tolerance on the nominal diameter of the wire specified?,The tolerance on the nominal diameter of the wire shall be ± 2 percent.
What are the cutting tolerances for wire specified in the standard?,"For wire, the cutting tolerances shall be as follows: Over 3 m and less than 3 m."
How often should tests be conducted according to the standard?,One tensile test and one bend test each shall be made for every 5 tonnes or less in any parcel of wire.
What tests are specified in the standard?,"The standard specifies tensile tests, proof stress tests, elongation tests, and reverse bend tests for wire."
How many re-tests are allowed if a test piece fails according to the standard?,"If a test piece fails, two further samples shall be selected for testing in respect of each failure."
How are finished wires required to be according to the standard?,"Finished wire should be cleanly drawn to the specified size, sound, free from splits, surface flaws, and other defects likely to impair its use for concrete reinforcement."
What is the purpose of the reverse bend test specified in the standard?,The reverse bend test is conducted to ensure that the wire can withstand bending without showing any signs of fracture.
What is the significance of the proof stress in the standard?,"The proof stress is the stress just sufficient to produce, under load, a non-proportional elongation equal to a specified percentage of the original gauge length."
Which methods are specified for the manufacture and chemical composition of the wire in the standard?,"The wire shall be cold-drawn from mild steel made by various processes, and the chemical composition shall be in accordance with specified methods."
How is the elongation of the wire defined in the standard?,"The elongation is defined as the increase in length of a tensile test piece under stress, expressed as a percentage of the original gauge length."
What is the purpose of the parcel according to the standard?,"The parcel refers to any quantity of finished wire, whether in coils or bundles, presented for examination and testing at any one time."
What should be done if any of the test pieces fail to pass the specified tests according to the standard?,"Two further samples shall be selected for testing in respect of each failure. If these pass, the material is deemed to comply; if they fail, the material is considered not to have complied."
How are test pieces for tensile and bend tests selected according to the standard?,Test pieces shall be selected either from the cuttings of lengths of wires or ends of coils of wires or from the coil or length of wire after it has been cut to the required or specified length.
"What method is used to determine the ultimate tensile stress, proof stress, and elongation of the wire according to the standard?","The ultimate tensile stress, proof stress, and elongation shall be determined in accordance with IS : 1521-1972."
What is the purpose of the proof stress in the standard?,"The proof stress is the stress that produces, under load, a non-proportional elongation equal to a specified percentage of the original gauge length."
How are finished wires required to be according to the standard?,Finished wires should be cleanly drawn to the specified size and free from defects likely to impair their use for concrete reinforcement.
What nominal sizes are specified for hard-drawn wire in the standard?,Hard-drawn wire shall be supplied in nominal sizes ranging from 2.65 mm to 10 mm in diameter.
What is the purpose of the tolerance specified in the standard?,The tolerance on the nominal diameter of the wire ensures that it meets specified dimensional requirements.
How are test pieces selected for testing according to the standard?,"Test pieces shall be selected from the finished material and straightened if necessary, without being annealed or otherwise subjected to heat treatment."
What is the purpose of the reverse bend test specified in the standard?,The reverse bend test is conducted to ensure that the wire can withstand bending without showing any signs of fracture.
How many re-tests are allowed if a test piece fails according to the standard?,"If a test piece fails, two further samples shall be selected for testing in respect of each failure."
What is the purpose of the proof stress in the standard?,"The proof stress is the stress that produces, under load, a non-proportional elongation equal to a specified percentage of the original gauge length."
How are test pieces for tensile and bend tests selected according to the standard?,Test pieces shall be selected either from the cuttings of lengths of wires or ends of coils of wires or from the coil or length of wire after it has been cut to the required or specified length.
"What method is used to determine the ultimate tensile stress, proof stress, and elongation of the wire according to the standard?","The ultimate tensile stress, proof stress, and elongation shall be determined in accordance with IS : 1521-1972."
What is the purpose of the proof stress in the standard?,"The proof stress is the stress that produces, under load, a non-proportional elongation equal to a specified percentage of the original gauge length."
How are finished wires required to be according to the standard?,Finished wires should be cleanly drawn to the specified size and free from defects likely to impair their use for concrete reinforcement.
What nominal sizes are specified for hard-drawn wire in the standard?,Hard-drawn wire shall be supplied in nominal sizes ranging from 2.65 mm to 10 mm in diameter.
What is the purpose of the tolerance specified in the standard?,The tolerance on the nominal diameter of the wire ensures that it meets specified dimensional requirements.
How are test pieces selected for testing according to the standard?,"Test pieces shall be selected from the finished material and straightened if necessary, without being annealed or otherwise subjected to heat treatment."
What is the purpose of the reverse bend test specified in the standard?,The reverse bend test is conducted to ensure that the wire can withstand bending without showing any signs of fracture.
How many re-tests are allowed if a test piece fails according to the standard?,"If a test piece fails, two further samples shall be selected for testing in respect of each failure."
